,team_1,team_2,bo3_result,date,championship,map,score_1,score_2,players_t1,players_t2,kd_t1,kd_t2
0,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Nuke,16,3,chelo,dumau,25-12,8-16
1,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Nuke,16,3,VINI,nqz,21-8,10-15
2,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Nuke,16,3,FalleN,coldzera,13-5,11-19
3,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Nuke,16,3,JOTA,TACO,13-9,8-18
4,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Nuke,16,3,boltz,latto,12-9,6-17
5,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Overpass,16,10,FalleN,dumau,24-12,19-19
6,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Overpass,16,10,VINI,coldzera,16-15,16-19
7,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Overpass,16,10,chelo,latto,20-16,11-19
8,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Overpass,16,10,JOTA,nqz,17-14,17-20
9,Imperial,00NATION,2 - 0,Results for January 20th 2023,ESL Pro League Season 17 Conference South America,Overpass,16,10,boltz,TACO,18-17,11-18
10,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Overpass,15,19,fer,sh1ro,24-24,28-18
11,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Overpass,15,19,VINI,HObbit,21-21,23-23
12,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Overpass,15,19,chelo,Ax1Le,22-23,19-20
13,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Overpass,15,19,FalleN,nafany,17-22,22-23
14,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Overpass,15,19,boltz,interz,19-23,21-19
15,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Vertigo,19,22,fer,HObbit,31-30,40-28
16,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Vertigo,19,22,chelo,sh1ro,31-33,45-27
17,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Vertigo,19,22,boltz,interz,24-30,19-24
18,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Vertigo,19,22,FalleN,nafany,25-26,25-30
19,Imperial,Cloud9,0 - 2,Results for November 2nd 2022,IEM Rio Major 2022 Challengers Stage,Vertigo,19,22,VINI,Ax1Le,24-30,20-26
20,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Dust2,13,16,boltz,biguzera,26-20,27-18
21,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Dust2,13,16,fer,zevy,16-20,29-13
22,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Dust2,13,16,FalleN,skullz,15-21,20-18
23,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Dust2,13,16,chelo,hardzao,14-21,16-19
24,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Dust2,13,16,VINI,PKL,12-20,10-17
25,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Overpass,16,14,chelo,biguzera,24-22,25-18
26,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Overpass,16,14,fer,skullz,21-17,18-17
27,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Overpass,16,14,boltz,PKL,16-15,17-20
28,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Overpass,16,14,FalleN,zevy,19-19,17-19
29,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Overpass,16,14,VINI,hardzao,13-20,16-19
30,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Vertigo,6,16,fer,biguzera,19-17,23-12
31,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Vertigo,6,16,chelo,PKL,15-17,22-12
32,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Vertigo,6,16,boltz,hardzao,10-15,17-13
33,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Vertigo,6,16,FalleN,skullz,10-17,11-11
34,Imperial,paiN,1 - 2,Results for October 16th 2022,Flow FiReLEAGUE 2022 Global Finals,Vertigo,6,16,VINI,zevy,9-18,11-15
35,Imperial,Isurus,2 - 0,Results for October 15th 2022,Flow FiReLEAGUE 2022 Global Finals,Dust2,16,14,chelo,luchov,30-18,24-21
36,Imperial,Isurus,2 - 0,Results for October 15th 2022,Flow FiReLEAGUE 2022 Global Finals,Dust2,16,14,fer,reversive,24-19,19-20
